Map,Variant,Feature,Dialect Group,nPMI,Exclusivity,Representativeness
œ_leg,œ,œ_leg_œ,Guangfu,0.709,0.821,0.865
*ɲ_meat,j,*ɲ_meat_j,Guangfu,0.694,0.773,0.919
*ɲ_moon,j,*ɲ_moon_j,Guangfu,0.687,0.8,0.865
œ_bird_col,œ,œ_bird_col_œ,Guangfu,0.685,0.816,0.838
œ_long,œ,œ_long_œ,Guangfu,0.682,0.8,0.865
œ_to think,œ,œ_to think_œ,Guangfu,0.682,0.8,0.865
*ɲ_sun,j,*ɲ_sun_j,Guangfu,0.67,0.767,0.892
*ɲ_person,j,*ɲ_person_j,Guangfu,0.65,0.75,0.892
*ɲ_fish,j,*ɲ_fish_j,Guangfu,0.623,0.756,0.838
y_village,y,y_village_y,Guangfu,0.607,0.727,0.865
*ɲ_hot,j,*ɲ_hot_j,Guangfu,0.577,0.744,0.784
*ɲ_two,j,*ɲ_two_j,Guangfu,0.575,0.757,0.757
y_all,y,y_all_y,Guangfu,0.51,0.66,0.838
y_pig,y,y_pig_y,Guangfu,0.494,0.618,0.919
*dz_all,ʦʰ,*dz_all_ʦʰ,Guangfu,0.493,0.6,0.973
y_feather,y,y_feather_y,Guangfu,0.493,0.6,0.973
*ɲ_ear,j,*ɲ_ear_j,Guangfu,0.472,0.684,0.703
y_tree,y,y_tree_y,Guangfu,0.465,0.593,0.946
ɔ_to speak_col,ɔ,ɔ_to speak_col_ɔ,Guangfu,0.462,0.581,0.973
leg_m,0,leg_m_0,Guangfu,0.455,0.6,0.892
ui_to sleep,ɵy,ui_to sleep_ɵy,Guangfu,0.454,0.81,0.459
ui_water,ɵy,ui_water_ɵy,Guangfu,0.451,0.81,0.459
ɔ_horn,ɔ,ɔ_horn_ɔ,Guangfu,0.45,0.569,1
ɵ_spring,ɵ,ɵ_spring_ɵ,Guangfu,0.449,0.875,0.378
*d_to sit,ʦʰ,*d_to sit_ʦʰ,Guangfu,0.449,0.583,0.946
s_four,s,s_four_s,Guangfu,0.448,0.63,0.784
s_heart,s,s_heart_s,Guangfu,0.448,0.63,0.784
s_new,s,s_new_s,Guangfu,0.448,0.63,0.784
s_to die,s,s_to die_s,Guangfu,0.448,0.63,0.784
s_to think,s,s_to think_s,Guangfu,0.448,0.63,0.784
s_west,s,s_west_s,Guangfu,0.448,0.63,0.784
œ_double,œ,œ_double_œ,Guangfu,0.442,0.676,0.676
bird_col_m,0,bird_col_m_0,Guangfu,0.44,0.589,0.892
*ɲ_enter,j,*ɲ_enter_j,Guangfu,0.44,0.589,0.892
y_rain,y,y_rain_y,Guangfu,0.439,0.574,0.946
y_moon,y,y_moon_y,Guangfu,0.433,0.593,0.865
s_small_lit,s,s_small_lit_s,Guangfu,0.431,0.617,0.784
s_three,s,s_three_s,Guangfu,0.431,0.617,0.784
s_small_col,s,s_small_col_s,Guangfu,0.427,0.617,0.784
y_fish,y,y_fish_y,Guangfu,0.424,0.565,0.946
long_m,0,long_m_0,Guangfu,0.424,0.579,0.892
to think_m,0,to think_m_0,Guangfu,0.424,0.579,0.892
y_mouse/rat,y,y_mouse/rat_y,Guangfu,0.419,0.565,0.946
y_boat,y,y_boat_y,Guangfu,0.418,0.582,0.865
*d_head,tʰ,*d_head_tʰ,Guangfu,0.417,0.567,0.919
*ɲ_to drink,j,*ɲ_to drink_j,Guangfu,0.409,0.569,0.892
y_round,y,y_round_y,Guangfu,0.406,0.585,0.838
ɵ_out,ɵ,ɵ_out_ɵ,Guangfu,0.405,0.857,0.324
y_blood,y,y_blood_y,Guangfu,0.395,0.574,0.838
tsʰ_long,ʦʰ,tsʰ_long_ʦʰ,Guangfu,0.389,0.537,0.973
s_knee,s,s_knee_s,Guangfu,0.383,0.656,0.568
*b_skin1,pʰ,*b_skin1_pʰ,Guangfu,0.37,0.521,1
*d_abdomen,tʰ,*d_abdomen_tʰ,Guangfu,0.369,0.566,0.811
*ts_bird_col,ʦ,*ts_bird_col_ʦ,Guangfu,0.366,0.591,0.703
ɔ_to sit,ɔ,ɔ_to sit_ɔ,Guangfu,0.36,0.541,0.892
*ɿ_teacher,y,*ɿ_teacher_y,Guangfu,0.355,0.889,0.216
*u_soil_earth,ou,*u_soil_earth_ou,Guangfu,0.345,0.618,0.568
*g_strange,kʰ,*g_strange_kʰ,Guangfu,0.343,0.507,1
*y_woman,ɵy,*y_woman_ɵy,Guangfu,0.336,0.667,0.432
*u_road,ou,*u_road_ou,Guangfu,0.327,0.6,0.568
ɛ_snake,ɛ,ɛ_snake_ɛ,Guangfu,0.326,0.507,0.946
*u_abdomen,ou,*u_abdomen_ou,Guangfu,0.319,0.606,0.541
*ŋ_cow,ŋ,*ŋ_cow_ŋ,Guangfu,0.317,0.507,0.919
ɔ_I,ɔ / ɔi,ɔ_I_ɔ / ɔi,Guangfu,0.317,1,0.108
*-t_seven,k,*-t_seven_k,Guangfu,0.317,1,0.108
*-n_to see_col,ŋ,*-n_to see_col_ŋ,Guangfu,0.317,1,0.108
y_tool,ɵy,y_tool_ɵy,Guangfu,0.317,0.706,0.324
ɔ_fire,ɔ,ɔ_fire_ɔ,Guangfu,0.308,0.493,0.973
ou_good,ou,ou_good_ou,Guangfu,0.307,0.558,0.649
*kʰ_to stand,kʰ,*kʰ_to stand_kʰ,Guangfu,0.306,0.5,0.946
stone_n,ɛ,stone_n_ɛ,Guangfu,0.305,0.583,0.568
*-n_all,ŋ,*-n_all_ŋ,Guangfu,0.291,1,0.081
*-t_bone,k,*-t_bone_k,Guangfu,0.291,1,0.081
a_eight,a / ɛ,a_eight_a / ɛ,Guangfu,0.291,1,0.081
*-t_lice,k,*-t_lice_k,Guangfu,0.291,1,0.081
*-n_smoke,ŋ,*-n_smoke_ŋ,Guangfu,0.291,1,0.081
*-t_sun,k,*-t_sun_k,Guangfu,0.291,1,0.081
i_to see_col,i / ɛ,i_to see_col_i / ɛ,Guangfu,0.291,1,0.081
*-n_village,ŋ,*-n_village_ŋ,Guangfu,0.291,1,0.081
*n_man,l,*n_man_l,Guangfu,0.29,0.778,0.189
*-t_one,k,*-t_one_k,Guangfu,0.29,1,0.081
ɵ_out,y,ɵ_out_y,Guangfu,0.29,1,0.081
*n_woman,l,*n_woman_l,Guangfu,0.29,0.778,0.189
h_to see_lit,f,h_to see_lit_f,Guangfu,0.286,1,0.081
ɔ_light,ɔ,ɔ_light_ɔ,Guangfu,0.274,0.479,0.946
ɐu_nine,ɐu,ɐu_nine_ɐu,Guangfu,0.268,0.479,0.946
ɛ_night,ɛ,ɛ_night_ɛ,Guangfu,0.264,0.485,0.892
*-t_blood,k,*-t_blood_k,Guangfu,0.262,1,0.054
*-n_boat,ŋ,*-n_boat_ŋ,Guangfu,0.262,1,0.054
*ŋ_cow,0,*ŋ_cow_0,Guangfu,0.262,1,0.054
ɐu_cow,ɐu,ɐu_cow_ɐu,Guangfu,0.262,0.473,0.946
a_eight,æ,a_eight_æ,Guangfu,0.262,1,0.054
*-t_eight,0,*-t_eight_0,Guangfu,0.262,1,0.054
*ŋ_eye,0,*ŋ_eye_0,Guangfu,0.262,1,0.054
a_eye,æ,a_eye_æ,Guangfu,0.262,1,0.054
u_full,œ,u_full_œ,Guangfu,0.262,1,0.054
a_hair_head,æ,a_hair_head_æ,Guangfu,0.262,1,0.054
a_hair_head,ɐ,a_hair_head_ɐ,Guangfu,0.262,1,0.054
*-t_hair_head,0,*-t_hair_head_0,Guangfu,0.262,1,0.054
*-t_hot,k,*-t_hot_k,Guangfu,0.262,1,0.054
*ŋ_I,0,*ŋ_I_0,Guangfu,0.262,1,0.054
ɔ_I,ɔi,ɔ_I_ɔi,Guangfu,0.262,1,0.054
a_mountain ,æ,a_mountain _æ,Guangfu,0.262,1,0.054
j_smoke,j / 0,j_smoke_j / 0,Guangfu,0.262,1,0.054
i_smoke,i / ɛ,i_smoke_i / ɛ,Guangfu,0.262,1,0.054
*ŋ_to bite,0,*ŋ_to bite_0,Guangfu,0.262,1,0.054
*-t_to kill,0,*-t_to kill_0,Guangfu,0.262,1,0.054
*ŋ_tooth1,0,*ŋ_tooth1_0,Guangfu,0.262,1,0.054
ɔ_yellow,ɔ,ɔ_yellow_ɔ,Guangfu,0.262,0.473,0.946
*-n_round,ŋ,*-n_round_ŋ,Guangfu,0.26,1,0.054
a_white,æ,a_white_æ,Guangfu,0.26,1,0.054
*ɿ_history,y,*ɿ_history_y,Guangfu,0.256,0.75,0.162
ɐu_autumn,ɐu,ɐu_autumn_ɐu,Guangfu,0.255,0.473,0.946
ɐi_small_col,ɐi,ɐi_small_col_ɐi,Guangfu,0.251,0.468,0.973
*n_you,l,*n_you_l,Guangfu,0.251,0.7,0.189
*0_duck,ŋ,*0_duck_ŋ,Guangfu,0.249,0.8,0.108
ou_hair_body,ou,ou_hair_body_ou,Guangfu,0.249,0.524,0.595
ɐ_together/to merge,ɐ,ɐ_together/to merge_ɐ,Guangfu,0.249,0.543,0.514
*k_nine,k,*k_nine_k,Guangfu,0.247,0.463,1
*x_blood,h,*x_blood_h,Guangfu,0.246,0.462,0.973
ɐu_to swim,ɐu,ɐu_to swim_ɐu,Guangfu,0.243,0.467,0.946
*ŋ_five,m̩,*ŋ_five_m̩,Guangfu,0.242,0.643,0.243
ɐi_chicken,ɐi,ɐi_chicken_ɐi,Guangfu,0.239,0.462,0.973
y_to go,ɵy,y_to go_ɵy,Guangfu,0.238,0.611,0.297
ɐ_sun,ɐ,ɐ_sun_ɐ,Guangfu,0.233,0.456,0.973
ɐu_to walk,ɐu,ɐu_to walk_ɐu,Guangfu,0.233,0.456,0.973
*-t_eight,k,*-t_eight_k,Guangfu,0.23,0.714,0.135
ɐu_hand,ɐu,ɐu_hand_ɐu,Guangfu,0.229,0.459,0.919
y_all,œ,y_all_œ,Guangfu,0.223,1,0.027
y_all,ɔ,y_all_ɔ,Guangfu,0.223,1,0.027
y_all,ɵ,y_all_ɵ,Guangfu,0.223,1,0.027
*d_big,t / tʰ,*d_big_t / tʰ,Guangfu,0.223,1,0.027
*d_big,ʈ,*d_big_ʈ,Guangfu,0.223,1,0.027
ɐ_black,ɐ / a,ɐ_black_ɐ / a,Guangfu,0.223,1,0.027
ɐ_black,ɪ,ɐ_black_ɪ,Guangfu,0.223,1,0.027
y_blood,œ,y_blood_œ,Guangfu,0.223,1,0.027
y_blood,ɔ,y_blood_ɔ,Guangfu,0.223,1,0.027
y_blood,ɵ,y_blood_ɵ,Guangfu,0.223,1,0.027
*-t_blood,0,*-t_blood_0,Guangfu,0.223,1,0.027
*l_blue,ŋ,*l_blue_ŋ,Guangfu,0.223,1,0.027
a_blue,a / i,a_blue_a / i,Guangfu,0.223,1,0.027
s_boat,s / ʦ,s_boat_s / ʦ,Guangfu,0.223,1,0.027
y_boat,ɵ,y_boat_ɵ,Guangfu,0.223,1,0.027
*t_cold,ʈ,*t_cold_ʈ,Guangfu,0.223,1,0.027
a_duck,ɐ,a_duck_ɐ,Guangfu,0.223,1,0.027
*i_ear,ɐi,*i_ear_ɐi,Guangfu,0.223,1,0.027
a_eight,ɪ,a_eight_ɪ,Guangfu,0.223,1,0.027
a_eye,i,a_eye_i,Guangfu,0.223,1,0.027
ɔ_fire,ɔi,ɔ_fire_ɔi,Guangfu,0.223,1,0.027
*ɲ_fish,z,*ɲ_fish_z,Guangfu,0.223,1,0.027
*u_five,u,*u_five_u,Guangfu,0.223,1,0.027
*m_full,n,*m_full_n,Guangfu,0.223,1,0.027
u_full,u / ɔ,u_full_u / ɔ,Guangfu,0.223,1,0.027
u_full,ɵ,u_full_ɵ,Guangfu,0.223,1,0.027
*x_good,x,*x_good_x,Guangfu,0.223,1,0.027
*l_green,ŋ,*l_green_ŋ,Guangfu,0.223,1,0.027
f_hair_head,pʰ,f_hair_head_pʰ,Guangfu,0.223,1,0.027
a_hair_head,ɛ,a_hair_head_ɛ,Guangfu,0.223,1,0.027
ɐu_hand,u,ɐu_hand_u,Guangfu,0.223,1,0.027
*-m_heart,ŋ,*-m_heart_ŋ,Guangfu,0.223,1,0.027
*ɲ_hot,z,*ɲ_hot_z,Guangfu,0.223,1,0.027
ɔ_I,ai,ɔ_I_ai,Guangfu,0.223,1,0.027
s_knee,n,s_knee_n,Guangfu,0.223,1,0.027
*-t_knee,n,*-t_knee_n,Guangfu,0.223,1,0.027
*ɣ_lake,x,*ɣ_lake_x,Guangfu,0.223,1,0.027
*k_leg,ʦʰ,*k_leg_ʦʰ,Guangfu,0.223,1,0.027
a_man,a / i,a_man_a / i,Guangfu,0.223,1,0.027
*t_many,ʈ,*t_many_ʈ,Guangfu,0.223,1,0.027
*ɲ_meat,z,*ɲ_meat_z,Guangfu,0.223,1,0.027
*-k_meat,ʔ,*-k_meat_ʔ,Guangfu,0.223,1,0.027
*ɲ_moon,z,*ɲ_moon_z,Guangfu,0.223,1,0.027
y_moon,ɔ,y_moon_ɔ,Guangfu,0.223,1,0.027
y_moon,ɵ,y_moon_ɵ,Guangfu,0.223,1,0.027
*-t_moon,k,*-t_moon_k,Guangfu,0.223,1,0.027
a_mountain ,a / ɛ,a_mountain _a / ɛ,Guangfu,0.223,1,0.027
*ɲ_person,z,*ɲ_person_z,Guangfu,0.223,1,0.027
ts_pig,ʦʰ,ts_pig_ʦʰ,Guangfu,0.223,1,0.027
*x_red,f,*x_red_f,Guangfu,0.223,1,0.027
*l_road,ŋ,*l_road_ŋ,Guangfu,0.223,1,0.027
*k_root,h,*k_root_h,Guangfu,0.223,1,0.027
*k_root,n,*k_root_n,Guangfu,0.223,1,0.027
*l_six,ŋ,*l_six_ŋ,Guangfu,0.223,1,0.027
ɛ_snake,œ,ɛ_snake_œ,Guangfu,0.223,1,0.027
*ɲ_sun,z,*ɲ_sun_z,Guangfu,0.223,1,0.027
*-p_ten,k,*-p_ten_k,Guangfu,0.223,1,0.027
*-m_three,m / n,*-m_three_m / n,Guangfu,0.223,1,0.027
*ɲ_to drink,z,*ɲ_to drink_z,Guangfu,0.223,1,0.027
*-m_to drink,ŋ,*-m_to drink_ŋ,Guangfu,0.223,1,0.027
a_to kill,æ,a_to kill_æ,Guangfu,0.223,1,0.027
a_to kill,ɐ,a_to kill_ɐ,Guangfu,0.223,1,0.027
ui_to sleep,y,ui_to sleep_y,Guangfu,0.223,1,0.027
ui_to sleep,ɔ,ui_to sleep_ɔ,Guangfu,0.223,1,0.027
y_tool,œ,y_tool_œ,Guangfu,0.223,1,0.027
*a_tooth1,œ,*a_tooth1_œ,Guangfu,0.223,1,0.027
*ɲ_two,z,*ɲ_two_z,Guangfu,0.223,1,0.027
tsʰ_village,s,tsʰ_village_s,Guangfu,0.223,1,0.027
village_m,i,village_m_i,Guangfu,0.223,1,0.027
y_village,œ,y_village_œ,Guangfu,0.223,1,0.027
*-k_white,t,*-k_white_t,Guangfu,0.223,1,0.027
*t_winter,ʈ,*t_winter_ʈ,Guangfu,0.223,1,0.027
*n_woman,j,*n_woman_j,Guangfu,0.223,1,0.027
*y_woman,œ,*y_woman_œ,Guangfu,0.223,1,0.027
*ɣ_yellow,f,*ɣ_yellow_f,Guangfu,0.223,1,0.027
*ɣ_yellow,n,*ɣ_yellow_n,Guangfu,0.223,1,0.027
*-ŋ_yellow,n,*-ŋ_yellow_n,Guangfu,0.223,1,0.027
*n_you,j,*n_you_j,Guangfu,0.223,1,0.027
ɐu_autumn,u,ɐu_autumn_u,Guangfu,0.221,1,0.027
ɐu_dog,ɐu,ɐu_dog_ɐu,Guangfu,0.221,0.45,0.973
ɐ_knee,ɪ,ɐ_knee_ɪ,Guangfu,0.221,1,0.027
*-p_leaf,ʔ,*-p_leaf_ʔ,Guangfu,0.221,1,0.027
*0_love,v,*0_love_v,Guangfu,0.221,1,0.027
ɔi_love,i,ɔi_love_i,Guangfu,0.221,1,0.027
ɔi_love,u,ɔi_love_u,Guangfu,0.221,1,0.027
ɛ_night,œ,ɛ_night_œ,Guangfu,0.221,1,0.027
ɐu_nine,u,ɐu_nine_u,Guangfu,0.221,1,0.027
ɐ_north,ɪ,ɐ_north_ɪ,Guangfu,0.221,1,0.027
ɵ_out,y / ɐ,ɵ_out_y / ɐ,Guangfu,0.221,1,0.027
y_round,ɵ,y_round_ɵ,Guangfu,0.221,1,0.027
stone_n,i,stone_n_i,Guangfu,0.221,1,0.027
stone_n,œ,stone_n_œ,Guangfu,0.221,1,0.027
*ɿ_teacher,œ,*ɿ_teacher_œ,Guangfu,0.221,1,0.027
y_to go,œ,y_to go_œ,Guangfu,0.221,1,0.027
ɔ_to sit,o,ɔ_to sit_o,Guangfu,0.221,1,0.027
ɐu_to swim,o,ɐu_to swim_o,Guangfu,0.221,1,0.027
ui_water,ɔ,ui_water_ɔ,Guangfu,0.221,1,0.027
ɐi_west,ɐi,ɐi_west_ɐi,Guangfu,0.221,0.45,0.973
*ɲ_ear,ŋ,*ɲ_ear_ŋ,Guangfu,0.22,0.667,0.162
*n_bird_lit,n / t,*n_bird_lit_n / t,Guangfu,0.219,1,0.027
œ_double,œ / o,œ_double_œ / o,Guangfu,0.219,1,0.027
œ_double,œ / ɔ,œ_double_œ / ɔ,Guangfu,0.219,1,0.027
ts_fat,ɬ,ts_fat_ɬ,Guangfu,0.219,1,0.027
*ɣ_summer,h,*ɣ_summer_h,Guangfu,0.219,0.456,0.973
i_to fly,ei,i_to fly_ei,Guangfu,0.219,0.5,0.595
f_tomb,pʰ,f_tomb_pʰ,Guangfu,0.219,1,0.027
ɔ_to see_lit,y,ɔ_to see_lit_y,Guangfu,0.218,1,0.027
y_to go,y,y_to go_y,Guangfu,0.217,0.531,0.459
a_eye,ɛ,a_eye_ɛ,Guangfu,0.215,0.588,0.27
s_knee,ʦʰ,s_knee_ʦʰ,Guangfu,0.214,0.6,0.243
ɐ_one,ɐ,ɐ_one_ɐ,Guangfu,0.211,0.446,1
ui_ash,oi,ui_ash_oi,Guangfu,0.21,0.75,0.081
*-t_out,k,*-t_out_k,Guangfu,0.21,0.75,0.081
*h_tiger,f,*h_tiger_f,Guangfu,0.21,0.444,0.973
*0_love,ŋ,*0_love_ŋ,Guangfu,0.208,0.75,0.081
*n_bird_lit,l,*n_bird_lit_l,Guangfu,0.207,0.6,0.243
ɔ_many,ɔ,ɔ_many_ɔ,Guangfu,0.207,0.44,1
ɐ_person,ɐ,ɐ_person_ɐ,Guangfu,0.207,0.44,1
*i_nose,ei,*i_nose_ei,Guangfu,0.206,0.5,0.541
ɔ_liver,ɔ,ɔ_liver_ɔ,Guangfu,0.205,0.456,0.838
ɐu_mouth,ɐu,ɐu_mouth_ɐu,Guangfu,0.202,0.444,0.973
*tsʰ_autumn,ʦʰ,*tsʰ_autumn_ʦʰ,Guangfu,0.199,0.44,1
ɐ_lice,ɐ,ɐ_lice_ɐ,Guangfu,0.195,0.435,1
nose_c,0,nose_c_0,Guangfu,0.195,0.435,1
*h_ash,f,*h_ash_f,Guangfu,0.193,0.442,0.919
ɐu_head,ɐu,ɐu_head_ɐu,Guangfu,0.193,0.442,0.919
*-t_to kill,k,*-t_to kill_k,Guangfu,0.193,0.667,0.108
*ɣ_yellow,w,*ɣ_yellow_w,Guangfu,0.192,0.464,0.703
ɐ_cloud,ɐ,ɐ_cloud_ɐ,Guangfu,0.187,0.434,0.973
ɐ_enter,ɐ,ɐ_enter_ɐ,Guangfu,0.187,0.434,0.973
*h_fire,f,*h_fire_f,Guangfu,0.187,0.434,0.973
tsʰ_village,ʦʰ,tsʰ_village_ʦʰ,Guangfu,0.187,0.434,0.973
*i_skin1,ei,*i_skin1_ei,Guangfu,0.185,0.487,0.514
o_breast,o,o_breast_o,Guangfu,0.184,0.43,1
ts_claws,ʦ,ts_claws_ʦ,Guangfu,0.184,0.43,1
o_green,o,o_green_o,Guangfu,0.184,0.43,1
*ŋ_to bite,ŋ,*ŋ_to bite_ŋ,Guangfu,0.182,0.436,0.919
ɔi_love,oi,ɔi_love_oi,Guangfu,0.18,0.6,0.162
tsʰ_seven,ʦʰ,tsʰ_seven_ʦʰ,Guangfu,0.176,0.429,0.973
ɐ_ten,ɐ,ɐ_ten_ɐ,Guangfu,0.176,0.429,0.973
ɐ_heart,ɐ,ɐ_heart_ɐ,Guangfu,0.172,0.425,1
o_red,o,o_red_o,Guangfu,0.172,0.425,1
*ɣ_lake,w,*ɣ_lake_w,Guangfu,0.17,0.475,0.514
y_tool,y,y_tool_y,Guangfu,0.17,0.475,0.514
*ŋ_tooth1,ŋ,*ŋ_tooth1_ŋ,Guangfu,0.17,0.43,0.919
*i_floor/ground,ei,*i_floor/ground_ei,Guangfu,0.167,0.476,0.541
ɐ_knee,ɐ,ɐ_knee_ɐ,Guangfu,0.163,0.43,0.919
*i_tail,ei,*i_tail_ei,Guangfu,0.163,0.465,0.541
bone_n,ɐ,bone_n_ɐ,Guangfu,0.162,0.42,1
ɐ_new,ɐ,ɐ_new_ɐ,Guangfu,0.162,0.42,1
o_six,o,o_six_o,Guangfu,0.162,0.42,1
*ts_to walk,ʦ,*ts_to walk_ʦ,Guangfu,0.162,0.42,1
o_winter,o,o_winter_o,Guangfu,0.162,0.42,1
*-k_bird_col,0,*-k_bird_col_0,Guangfu,0.159,0.667,0.054
au_claws,a,au_claws_a,Guangfu,0.159,0.667,0.054
*-p_duck,0,*-p_duck_0,Guangfu,0.159,0.667,0.054
*ŋ_eye,ŋ,*ŋ_eye_ŋ,Guangfu,0.159,0.425,0.919
*i_nose,əi,*i_nose_əi,Guangfu,0.159,0.667,0.054
*-p_together/to merge,ʔ,*-p_together/to merge_ʔ,Guangfu,0.159,0.667,0.054
*y_woman,ɔi,*y_woman_ɔi,Guangfu,0.159,0.667,0.054
ɔ_to see_lit,ɔ,ɔ_to see_lit_ɔ,Guangfu,0.158,0.446,0.784
iu_bird_lit,iu,iu_bird_lit_iu,Guangfu,0.157,0.425,1
*ɿ_to die,i,*ɿ_to die_i,Guangfu,0.157,0.472,0.459
ui_water,oi,ui_water_oi,Guangfu,0.157,0.667,0.054
w_cloud,w,w_cloud_w,Guangfu,0.154,0.433,0.784
ɔi_love,ɔi,ɔi_love_ɔi,Guangfu,0.154,0.446,0.676
j_rain,j,j_rain_j,Guangfu,0.154,0.427,0.865
ɐ_seven,ɐ,ɐ_seven_ɐ,Guangfu,0.154,0.419,0.973
o_meat,o,o_meat_o,Guangfu,0.151,0.416,1
ɐ_to drink,ɐ,ɐ_to drink_ɐ,Guangfu,0.151,0.416,1
i_to know,i,i_to know_i,Guangfu,0.151,0.416,1
j_feather,j,j_feather_j,Guangfu,0.148,0.42,0.919
*u_five,o,*u_five_o,Guangfu,0.147,0.6,0.081
five_c,ŋ,five_c_ŋ,Guangfu,0.147,0.6,0.081
*-n_full,ŋ,*-n_full_ŋ,Guangfu,0.147,0.6,0.081
*-t_hair_head,k,*-t_hair_head_k,Guangfu,0.147,0.6,0.081
*-t_knee,k,*-t_knee_k,Guangfu,0.147,0.6,0.081
*k_leg,kʰ,*k_leg_kʰ,Guangfu,0.147,0.556,0.135
*-m_three,ŋ,*-m_three_ŋ,Guangfu,0.147,0.6,0.081
ɔ_dry,ɔ,ɔ_dry_ɔ,Guangfu,0.146,0.431,0.757
j_round,h,j_round_h,Guangfu,0.145,0.6,0.081
*i_you,ei,*i_you_ei,Guangfu,0.141,0.452,0.514
o_cold,o,o_cold_o,Guangfu,0.14,0.411,1
*u_tiger,u,*u_tiger_u,Guangfu,0.14,0.411,1
ɔ_to see_lit,u,ɔ_to see_lit_u,Guangfu,0.138,0.571,0.108
*h_flower,f,*h_flower_f,Guangfu,0.132,0.416,0.865
*ɐ_root,ɐ,*ɐ_root_ɐ,Guangfu,0.131,0.409,0.973
*-n_mountain,ŋ,*-n_mountain_ŋ,Guangfu,0.126,0.5,0.189
j_one,j,j_one_j,Guangfu,0.124,0.409,0.973
*-u-_bone,w,*-u-_bone_w,Guangfu,0.121,0.404,0.973
dry_m,0,dry_m_0,Guangfu,0.121,0.404,0.973
*y_woman,y,*y_woman_y,Guangfu,0.121,0.462,0.324
ts_to know,ʦ,ts_to know_ʦ,Guangfu,0.119,0.402,1
*u_five,0,*u_five_0,Guangfu,0.118,0.407,0.892
*i_to stand,ei,*i_to stand_ei,Guangfu,0.115,0.439,0.486
a_white,a,a_white_a,Guangfu,0.114,0.41,0.865
*i_nose,ɐi,*i_nose_ɐi,Guangfu,0.112,0.5,0.135
*t_cold,t,*t_cold_t,Guangfu,0.11,0.4,0.973
*ɿ_teacher,ɿ,*ɿ_teacher_ɿ,Guangfu,0.109,0.5,0.135
to speak_col_m,0,to speak_col_m_0,Guangfu,0.108,0.398,1
snake_m,0,snake_m_0,Guangfu,0.107,0.402,0.892
ɔ_dry,u,ɔ_dry_u,Guangfu,0.104,0.5,0.108
ɔ_liver,u,ɔ_liver_u,Guangfu,0.104,0.5,0.108
double_m,0,double_m_0,Guangfu,0.103,0.407,0.892
*-n_eye,ŋ,*-n_eye_ŋ,Guangfu,0.1,0.467,0.189
horn_m,0,horn_m_0,Guangfu,0.1,0.398,1
liver_m,0,liver_m_0,Guangfu,0.1,0.396,0.973
*t_many,t,*t_many_t,Guangfu,0.1,0.396,0.973
*t_winter,t,*t_winter_t,Guangfu,0.1,0.396,0.973
œ_long,ɔ,œ_long_ɔ,Guangfu,0.099,0.5,0.108
œ_to think,ɔ,œ_to think_ɔ,Guangfu,0.099,0.5,0.108
*i_four,ei,*i_four_ei,Guangfu,0.098,0.425,0.459
*b_nose,p,*b_nose_p,Guangfu,0.098,0.394,1
*u_skin2,u,*u_skin2_u,Guangfu,0.098,0.394,1
*i_strange,ei,*i_strange_ei,Guangfu,0.098,0.425,0.459
