Map,Variant,Feature,Dialect Group,nPMI,Exclusivity,Representativeness
claws_m,0,claws_m_0,Guangfu,0.019,0.363,1
enter_m,0,enter_m_0,Guangfu,0.019,0.363,1
*i_floor/ground,ɐi,*i_floor/ground_ɐi,Guangfu,0.019,0.385,0.135
green_m,0,green_m_0,Guangfu,0.019,0.363,1
heart_m,0,heart_m_0,Guangfu,0.019,0.363,1
*-t_knee,t,*-t_knee_t,Guangfu,0.019,0.364,0.865
leaf_m,0,leaf_m_0,Guangfu,0.019,0.366,1
moon_m,0,moon_m_0,Guangfu,0.019,0.363,1
new_m,0,new_m_0,Guangfu,0.019,0.363,1
person_m,0,person_m_0,Guangfu,0.019,0.363,1
seven_m,0,seven_m_0,Guangfu,0.019,0.363,1
six_m,0,six_m_0,Guangfu,0.019,0.363,1
sun_m,0,sun_m_0,Guangfu,0.019,0.363,1
to see_col_m,0,to see_col_m_0,Guangfu,0.019,0.363,1
*-ŋ_to speak_col,ŋ,*-ŋ_to speak_col_ŋ,Guangfu,0.019,0.363,1
*i_strange,i,*i_strange_i,Guangfu,0.018,0.367,0.486
*ŋ_I,ŋ,*ŋ_I_ŋ,Guangfu,0.017,0.363,0.892
a_mountain ,a,a_mountain _a,Guangfu,0.017,0.363,0.892
j_night,j,j_night_j,Guangfu,0.016,0.366,0.919
*-n_root,ŋ,*-n_root_ŋ,Guangfu,0.015,0.375,0.081
i_smoke,i,i_smoke_i,Guangfu,0.015,0.362,0.919
*m_tail,m,*m_tail_m,Guangfu,0.015,0.362,0.919
*-k_horn,k,*-k_horn_k,Guangfu,0.013,0.365,0.946
Summer_c,0,Summer_c_0,Guangfu,0.01,0.366,1
Autumn_m,0,Autumn_m_0,Guangfu,0.009,0.363,1
fish_c,0,fish_c_0,Guangfu,0.009,0.359,1
flower_m,0,flower_m_0,Guangfu,0.009,0.359,1
good_m,0,good_m_0,Guangfu,0.009,0.359,1
hot_m,0,hot_m_0,Guangfu,0.009,0.359,1
knee_m,0,knee_m_0,Guangfu,0.009,0.359,1
*k_light,k,*k_light_k,Guangfu,0.009,0.359,1
love_m,0,love_m_0,Guangfu,0.009,0.363,1
meat_m,0,meat_m_0,Guangfu,0.009,0.359,1
mouse_rat_m,0,mouse_rat_m_0,Guangfu,0.009,0.363,1
mouse_rat_c,0,mouse_rat_c_0,Guangfu,0.009,0.363,1
nose_m,0,nose_m_0,Guangfu,0.009,0.359,1
pig_c,0,pig_c_0,Guangfu,0.009,0.359,1
