Map,Variant,Feature,Dialect Group,PMI,nPMI,Exclusivity,Representativeness
to eat_n,ɪ,to eat_n_ɪ,3,0.019,0.004,0.049,0.6
Autumn_m,0,Autumn_m_0,3,0.014,0.003,0.059,1
fish_c,0,fish_c_0,3,0.014,0.003,0.058,1
flower_m,0,flower_m_0,3,0.014,0.003,0.058,1
good_m,0,good_m_0,3,0.014,0.003,0.058,1
history_m,0,history_m_0,3,0.014,0.003,0.059,1
*k_light,k,*k_light_k,3,0.014,0.003,0.058,1
love_m,0,love_m_0,3,0.014,0.003,0.059,1
meat_m,0,meat_m_0,3,0.014,0.003,0.058,1
mouse_rat_m,0,mouse_rat_m_0,3,0.014,0.003,0.059,1
mouse_rat_c,0,mouse_rat_c_0,3,0.014,0.003,0.059,1
nose_m,0,nose_m_0,3,0.014,0.003,0.058,1
pig_c,0,pig_c_0,3,0.014,0.003,0.058,1
rain_c,0,rain_c_0,3,0.014,0.003,0.058,1
*-ŋ_red,ŋ,*-ŋ_red_ŋ,3,0.014,0.003,0.058,1
*l_road,l,*l_road_l,3,0.014,0.003,0.058,1
sand_m,0,sand_m_0,3,0.014,0.003,0.058,1
*l_six,l,*l_six_l,3,0.014,0.003,0.058,1
small_col_m,0,small_col_m_0,3,0.014,0.003,0.059,1
soil_earth_m,0,soil_earth_m_0,3,0.014,0.003,0.058,1
Summer_c,0,Summer_c_0,3,0.014,0.003,0.059,1
teacher_m,0,teacher_m_0,3,0.014,0.003,0.059,1
ten_m,0,ten_m_0,3,0.014,0.003,0.058,1
to bite_m,0,to bite_m_0,3,0.014,0.003,0.058,1
f_to fly,f,f_to fly_f,3,0.014,0.003,0.058,1
to go_m,0,to go_m_0,3,0.014,0.003,0.059,1
to go_c,0,to go_c_0,3,0.014,0.003,0.059,1
*k_to see_col,k,*k_to see_col_k,3,0.014,0.003,0.058,1
to sleep_m,0,to sleep_m_0,3,0.014,0.003,0.058,1
to walk_m,0,to walk_m_0,3,0.014,0.003,0.058,1
tool_m,0,tool_m_0,3,0.014,0.003,0.058,1
tool_c,0,tool_c_0,3,0.014,0.003,0.058,1
woman_c,0,woman_c_0,3,0.014,0.003,0.058,1
*k_bone,k,*k_bone_k,3,0,0,0.058,1
*k_chicken,k,*k_chicken_k,3,0,0,0.058,1
*-ŋ_cold,ŋ,*-ŋ_cold_ŋ,3,0,0,0.058,1
dog_o,k,dog_o_k,3,0,0,0.058,1
*k_dry,k,*k_dry_k,3,0,0,0.058,1
*k_liver,k,*k_liver_k,3,0,0,0.058,1
*-ŋ_winter,ŋ,*-ŋ_winter_ŋ,3,0,0,0.058,1
*u_road,ou,*u_road_ou,3,-0.014,-0.002,0.057,0.333
ɐ_together/to merge,ɐ,ɐ_together/to merge_ɐ,3,-0.014,-0.002,0.057,0.333
iu_bird_lit,iu,iu_bird_lit_iu,3,-0.034,-0.008,0.057,0.833
o_meat,o,o_meat_o,3,-0.038,-0.009,0.056,0.833
*ɿ_to die,i,*ɿ_to die_i,3,-0.054,-0.009,0.056,0.333
ɔ_fire,ɔ,ɔ_fire_ɔ,3,-0.074,-0.016,0.055,0.667
*x_red,h,*x_red_h,3,-0.07,-0.016,0.055,0.833
*b_nose,p,*b_nose_p,3,-0.117,-0.027,0.053,0.833
*p_eight,p,*p_eight_p,3,-0.132,-0.03,0.053,0.833
*p_north,p,*p_north_p,3,-0.146,-0.033,0.053,0.833
*b_white,p,*b_white_p,3,-0.148,-0.034,0.052,0.833
bird_lit_m,0,bird_lit_m_0,3,-0.16,-0.037,0.053,0.833
*ɿ_teacher,i,*ɿ_teacher_i,3,-0.196,-0.038,0.051,0.5
*dz_all,ʦʰ,*dz_all_ʦʰ,3,-0.206,-0.04,0.05,0.5
*0_love,0,*0_love_0,3,-0.176,-0.04,0.052,0.833
iu_small_lit,iu,iu_small_lit_iu,3,-0.177,-0.04,0.051,0.833
tsʰ_tooth2,ʦʰ,tsʰ_tooth2_ʦʰ,3,-0.177,-0.04,0.051,0.833
*0_duck,0,*0_duck_0,3,-0.192,-0.044,0.051,0.833
*ɿ_history,i,*ɿ_history_i,3,-0.234,-0.046,0.05,0.5
lice_m,0,lice_m_0,3,-0.206,-0.047,0.05,0.833
tsʰ_out,ʦʰ,tsʰ_out_ʦʰ,3,-0.206,-0.047,0.05,0.833
tsʰ_spring,ʦʰ,tsʰ_spring_ʦʰ,3,-0.206,-0.047,0.05,0.833
ou_hair_body,ou,ou_hair_body_ou,3,-0.277,-0.049,0.048,0.333
all_m,0,all_m_0,3,-0.221,-0.05,0.05,0.833
blood_m,0,blood_m_0,3,-0.221,-0.05,0.05,0.833
y_all,u,y_all_u,3,-0.344,-0.051,0.045,0.167
enter_m,0,enter_m_0,3,-0.235,-0.054,0.049,0.833
heart_m,0,heart_m_0,3,-0.235,-0.054,0.049,0.833
leaf_m,0,leaf_m_0,3,-0.235,-0.054,0.05,0.833
moon_m,0,moon_m_0,3,-0.235,-0.054,0.049,0.833
new_m,0,new_m_0,3,-0.235,-0.054,0.049,0.833
person_m,0,person_m_0,3,-0.235,-0.054,0.049,0.833
seven_m,0,seven_m_0,3,-0.235,-0.054,0.049,0.833
sun_m,0,sun_m_0,3,-0.235,-0.054,0.049,0.833
to see_col_m,0,to see_col_m_0,3,-0.235,-0.054,0.049,0.833
*d_to sit,ʦ,*d_to sit_ʦ,3,-0.358,-0.054,0.045,0.167
ou_good,ou,ou_good_ou,3,-0.311,-0.055,0.047,0.333
hot_m,0,hot_m_0,3,-0.249,-0.057,0.049,0.833
knee_m,0,knee_m_0,3,-0.249,-0.057,0.049,0.833
root_m,0,root_m_0,3,-0.249,-0.057,0.049,0.833
smoke_m,0,smoke_m_0,3,-0.249,-0.057,0.049,0.833
to burn_m,0,to burn_m_0,3,-0.249,-0.057,0.049,0.833
to swim_m,0,to swim_m_0,3,-0.249,-0.057,0.049,0.833
ɔ_many,ɔ,ɔ_many_ɔ,3,-0.277,-0.059,0.048,0.667
*ɲ_person,j,*ɲ_person_j,3,-0.344,-0.06,0.045,0.333
s_teacher,s,s_teacher_s,3,-0.291,-0.062,0.048,0.667
o_green,o,o_green_o,3,-0.311,-0.066,0.047,0.667
s_knee,ɬ,s_knee_ɬ,3,-0.408,-0.072,0.043,0.333
o_six,o,o_six_o,3,-0.344,-0.073,0.045,0.667
*-k_to eat,k,*-k_to eat_k,3,-0.344,-0.073,0.045,0.667
*ts_to walk,ʦ,*ts_to walk_ʦ,3,-0.344,-0.073,0.045,0.667
i_to know,i,i_to know_i,3,-0.36,-0.077,0.045,0.667
*t_cold,t,*t_cold_t,3,-0.376,-0.08,0.044,0.667
*i_ear,i,*i_ear_i,3,-0.376,-0.08,0.044,0.667
